data,dia,seguidores,seguindo,posts
2021-02-04,Qui,1829935,1155,134
2021-02-06,Sab,2133264,1160,141
2021-02-07,Dom,2568813,1162,145
2021-02-08,Seg,3305770,1171,151
2021-02-09,Ter,3799904,1174,157
2021-02-10,Qua,4312582,1176,163
2021-02-11,Qui,4563719,1178,166
2021-02-12,Sex,4761916,1180,169
2021-02-13,Sab,4943878,1189,172
2021-02-14,Dom,5154671,1191,175
2021-02-15,Seg,5429713,1192,183
2021-02-16,Ter,5768433,1192,184
2021-02-17,Qua,6203691,1199,186
2021-02-18,Qui,6402923,1202,188
2021-02-19,Sex,6706445,1200,192
